epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8409642577171326,0.9275612831115723,0.3478967845439911,0.9645015001296997,0.9951562881469727,0.10446643084287643
1,0.9270344376564026,0.9785770177841187,0.193335622549057,0.9720543622970581,0.9973504543304443,0.07295054942369461
2,0.9381977319717407,0.9853450655937195,0.1586584597826004,0.9743202328681946,0.9977737665176392,0.06969323754310608
3,0.9462870359420776,0.9876322150230408,0.14493663609027863,0.9728096723556519,0.9979734420776367,0.08394746482372284
4,0.9479048848152161,0.9892738461494446,0.13368220627307892,0.9803625345230103,0.9977270364761353,0.06149208918213844
5,0.9529202580451965,0.9900673627853394,0.12732529640197754,0.9796072244644165,0.9984058141708374,0.05494507774710655
6,0.955023467540741,0.9920126795768738,0.11566495150327682,0.981117844581604,0.9982998371124268,0.051715999841690063
7,0.9558323621749878,0.9917333126068115,0.11475221812725067,0.9833837151527405,0.9985246658325195,0.04864699766039848
8,0.955508828163147,0.9918287396430969,0.11507987976074219,0.9833837151527405,0.9985121488571167,0.05103078857064247
9,0.9597152471542358,0.9932168126106262,0.10399316996335983,0.9773414134979248,0.9985166788101196,0.054908886551856995
10,0.9600388407707214,0.993289589881897,0.10335225611925125,0.9841389656066895,0.998649001121521,0.04774976894259453
11,0.957935631275177,0.9936524033546448,0.10129622370004654,0.9796072244644165,0.9984983801841736,0.04967008903622627
12,0.9671574234962463,0.9940235614776611,0.09555304050445557,0.9826284050941467,0.9983911514282227,0.049073122441768646
13,0.9635981321334839,0.9933943748474121,0.10194920748472214,0.9841389656066895,0.9982109069824219,0.05063006281852722
14,0.9635981321334839,0.9946498274803162,0.0939357802271843,0.9833837151527405,0.9988760352134705,0.04283224791288376
15,0.9663484692573547,0.9949038624763489,0.08908706903457642,0.981117844581604,0.9988577961921692,0.04262442886829376
16,0.9632745385169983,0.9941666722297668,0.09723158925771713,0.981873095035553,0.9988806843757629,0.044158559292554855
17,0.9703931212425232,0.9956879615783691,0.08306202292442322,0.9841389656066895,0.9987984299659729,0.043413832783699036
18,0.9657013416290283,0.9947739839553833,0.08891558647155762,0.981873095035553,0.9987608194351196,0.045183975249528885
19,0.9618184566497803,0.9944360256195068,0.09441446512937546,0.9841389656066895,0.998896598815918,0.0418543703854084
